No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,17.08%,511035,2026-06-03
2,AAPL,Apple Inc.,14.60%,308778,2026-06-03
3,GOOGL,Alphabet Inc.,6.65%,122440,2026-06-03
4,MSFT,Microsoft Corporation,5.95%,89818,2026-06-03
5,AVGO,Broadcom Inc.,5.55%,76867,2026-06-03
6,GOOG,Alphabet Inc.,5.29%,98324,2026-06-03
7,MU,"Micron Technology, Inc.",5.17%,32415,2026-06-03
8,AMZN,"Amazon.com, Inc.",4.75%,123483,2026-06-03
9,TSLA,"Tesla, Inc.",4.09%,64358,2026-06-03
10,BRK.B,Berkshire Hathaway Inc.,3.74%,52844,2026-06-03
11,LLY,Eli Lilly and Company,3.66%,22915,2026-06-03
12,META,"Meta Platforms, Inc.",3.59%,40066,2026-06-03
13,JPM,JPMorgan Chase & Co.,3.51%,77780,2026-06-03
14,XOM,Exxon Mobil Corporation,2.70%,120556,2026-06-03
15,JNJ,Johnson & Johnson,2.33%,69577,2026-06-03
16,V,Visa Inc.,2.31%,48512,2026-06-03
17,WMT,Walmart Inc.,2.14%,126448,2026-06-03
18,COST,Costco Wholesale Corporation,1.83%,12782,2026-06-03
19,MA,Mastercard Incorporated,1.68%,23471,2026-06-03
20,ABBV,AbbVie Inc.,1.65%,50926,2026-06-03
