No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.28%,512087,2026-06-12
2,AAPL,Apple Inc.,14.31%,309414,2026-06-12
3,GOOGL,Alphabet Inc.,6.98%,123473,2026-06-12
4,MSFT,Microsoft Corporation,5.67%,90002,2026-06-12
5,GOOG,Alphabet Inc.,5.57%,99473,2026-06-12
6,AMZN,"Amazon.com, Inc.",4.67%,123737,2026-06-12
7,MU,"Micron Technology, Inc.",4.59%,32481,2026-06-12
8,AVGO,Broadcom Inc.,4.55%,77025,2026-06-12
9,LLY,Eli Lilly and Company,4.13%,22902,2026-06-12
10,BRK.B,Berkshire Hathaway Inc.,4.06%,52952,2026-06-12
11,TSLA,"Tesla, Inc.",3.90%,64490,2026-06-12
12,JPM,JPMorgan Chase & Co.,3.82%,77940,2026-06-12
13,META,"Meta Platforms, Inc.",3.64%,40148,2026-06-12
14,XOM,Exxon Mobil Corporation,2.89%,120804,2026-06-12
15,JNJ,Johnson & Johnson,2.64%,69721,2026-06-12
16,V,Visa Inc.,2.49%,48612,2026-06-12
17,WMT,Walmart Inc.,2.42%,126708,2026-06-12
18,COST,Costco Wholesale Corporation,2.00%,12808,2026-06-12
19,MA,Mastercard Incorporated,1.82%,23519,2026-06-12
20,ABBV,AbbVie Inc.,1.82%,51030,2026-06-12
